,feature,importance
0,EPL_DISABL,0.13618605819665577
1,EPL_AGE65,0.11738845706518253
2,EP_DISABL,0.1143314070252091
3,EP_AGE65,0.11089922171575438
4,E_LIMENG,0.07218347454487667
5,SPL_THEME2,0.061524849595069146
6,RPL_THEME2,0.057378211428794984
7,SPL_THEME3,0.025299567973671975
8,RPL_THEME3,0.02314445119090719
9,M_LIMENG,0.022803903170474673
10,RPL_THEME1,0.014765058086220625
11,SPL_THEME1,0.014629915198632189
12,EPL_LIMENG,0.013728922729922646
13,EP_LIMENG,0.012932229333328637
14,EP_CROWD,0.011392947233178264
15,EPL_CROWD,0.010290823942687115
16,EP_MINRTY,0.010026877524949096
17,MP_DISABL,0.009446799306181817
18,EPL_MINRTY,0.008860489965629135
19,E_CROWD,0.008624886589923985
20,F_AGE65,0.007717995638585309
21,F_DISABL,0.006305772839766413
22,MP_UNEMP,0.006265978560408818
23,F_THEME2,0.005668182780891304
24,EP_AGE17,0.004598464513400566
25,EPL_AGE17,0.004396986533970384
26,F_THEME3,0.004109911635072055
27,EP_UNEMP,0.003661284397801765
28,MP_AGE65,0.0033415347054182726
29,E_PCI,0.0033319642326748613
30,E_AGE65,0.003298134070394891
31,EP_PCI,0.0032270179526585007
32,EPL_UNEMP,0.003219612534104768
33,F_TOTAL,0.0029430842059201645
34,EP_POV,0.002923396375822352
35,F_LIMENG,0.002807022845770942
36,EPL_PCI,0.0027978173114088893
37,MP_AGE17,0.002768758508197463
38,E_MINRTY,0.002736805052880679
39,% of Population Below 100% Poverty,0.0026866436975485006
40,RPL_THEMES,0.0026608409299310053
41,F_CROWD,0.0024950681608618404
42,F_THEME1,0.0023031015574965035
43,F_THEME4,0.002295295579436108
44,AREA_SQMI,0.002138826640906408
45,EPL_POV,0.002126452824860114
46,HPSA FTE,0.00204156720165471
47,SPL_THEMES,0.001837579152917083
48,EPL_NOHSDP,0.001759565885134674
49,EPL_NOVEH,0.0017006606759823616
50,HPSA Designation Population,0.001592144363352957
51,EP_NOHSDP,0.0015815069174319645
52,HPSA Estimated Served Population,0.00157090327898168
53,MP_CROWD,0.0015560409111630173
54,EPL_SNGPNT,0.0015448262934206916
55,MP_POV,0.0014707273401376496
56,M_CROWD,0.0014157687351415889
57,MP_MINRTY,0.0013456960180175132
58,EP_NOVEH,0.0013280379432907892
59,E_GROUPQ,0.001293783396807084
60,E_AGE17,0.001282104446605012
61,F_UNEMP,0.0012605991945766903
62,EPL_MUNIT,0.0011938993410876525
63,HPSA Estimated Underserved Population,0.0011862729068305867
64,HPSA Shortage,0.0011763629479213604
65,EP_MUNIT,0.0010774400465494327
66,EP_SNGPNT,0.0010613209653531515
67,E_MUNIT,0.0010291258938366474
68,E_NOHSDP,0.0009554624644167344
69,MP_MUNIT,0.000905718311783366
70,E_NOVEH,0.0008639529781360048
71,E_DISABL,0.0007490862016513673
72,E_TOTPOP,0.0006882966257986999
73,MP_LIMENG,0.0006880320923561553
74,M_MUNIT,0.0006308827562234285
75,F_MINRTY,0.0006273940368233152
76,MP_NOVEH,0.0006194695511563576
77,M_GROUPQ,0.0006115849284031641
78,E_UNINSUR,0.0006113339150926346
79,MP_NOHSDP,0.0005711329647571286
80,RPL_THEME4,0.0005676634617021173
81,E_SNGPNT,0.0005300394235722164
82,MP_SNGPNT,0.0005281509127801149
83,EP_UNINSUR,0.0005237094339801957
84,M_HH,0.0005110890491952256
85,EP_GROUPQ,0.0005059063494074902
86,E_DAYPOP,0.00048673732183819276
87,EPL_GROUPQ,0.0004441770869181096
88,SPL_THEME4,0.0004023049063799789
89,F_POV,0.0003927321114348764
90,M_NOVEH,0.00039216949788781474
91,F_MUNIT,0.00037894323809965676
92,M_HU,0.00037318296232775796
93,E_POV,0.00032258500383572966
94,HPSA Score,0.0002916968971713799
95,F_PCI,0.00028422841620838896
96,M_TOTPOP,0.0002711025449811861
97,M_AGE65,0.00027096903303518323
98,M_MINRTY,0.0002651640502407468
99,MP_UNINSUR,0.0002190649284408244
100,M_UNINSUR,0.00021885884252750569
101,M_MOBILE,0.00021504860272449753
102,MP_PCI,0.00020769101869003525
103,EP_MOBILE,0.000202316333383481
104,E_HH,0.00020072536215717948
105,M_AGE17,0.00019635997189572133
106,M_DISABL,0.00019356443439425694
107,M_NOHSDP,0.00018809360451331795
108,M_PCI,0.00018655417854764587
109,F_NOHSDP,0.0001785443621715856
110,E_UNEMP,0.00017279923408950118
111,EPL_MOBILE,0.00015504628620490043
112,MP_MOBILE,0.0001510252778581103
113,E_MOBILE,0.000146358366188193
114,E_HU,0.0001450776912312416
115,M_SNGPNT,0.0001298830979847857
116,MP_GROUPQ,0.00012257689974393463
117,F_NOVEH,0.00012237867457822658
118,F_SNGPNT,0.00011875442713496471
119,M_POV,9.581571838598017e-05
120,F_AGE17,8.405790304843346e-05
121,M_UNEMP,8.06063090447011e-05
122,F_GROUPQ,2.9396784572016605e-05
123,F_MOBILE,4.06340326118413e-06
